"bldrgstPk","bldNm","sggNm","bjdongNm","beonji","regstrKindNm","mainPurpsNm","strctNm","totarea","flrCnt","platArea","archArea","bcRat","vlRat","etcStrct","etcRoof","pmsDay","stcnsDay","useaprDay"
"11710-22415","동서빌라","송파구","송파동","23-18","표제부","공동주택","철근콘크리트구조","564.96","5/0","234.7","140.71","59.95","240.72","철근콘크리트구조","평스라브","20021024","20021025","20030522"
"11710-24526",,"송파구","송파동","24","일반건축물","근린생활시설, 다가구주택","철근콘크리트구조","760.68","4/1","0","0","0","0","철근콘크리트조, 연와조","평스라브","19840425",,"19840724"
"11710-14147",,"송파구","송파동","24-2","일반건축물","단독주택","벽돌구조","248.76","2/1","0","0","0","0","연와조","경사스라브","19870822",,"19871113"
"11710-19982",,"송파구","송파동","24-3","표제부","다세대주택(10세대)","철근콘크리트구조","650.27","4/1","254.4","143.03","56.22","200.75","철근콘크리트 벽식조","경사스라브","19930401","19930708","19931230"
"11710-16206",,"송파구","송파동","24-4","일반건축물","다가구주택(11가구)","철근콘크리트구조","514.24","3/1","242.9","138.42","56.99","160.99","철근콘크리트조,","평스라브","19941229","19950403","19950818"
"11710-16452",,"송파구","송파동","24-5","일반건축물","다가구용단독주택(5가구)","벽돌구조","313.65","2/1","224.6","224.6","54.94","94.03","조적조,","평스라브","19921007","199210","19921229"
"11710-6657",,"송파구","송파동","24-7","일반건축물","근린생활시설, 주택","철근콘크리트구조","1599.59","4/1","635.3","314.97","49.57","164.92","철근콘크리트조, 조적조","평스라브","19930508","19930617","19940528"
"11710-7406",,"송파구","송파동","24-8","표제부","공동주택(다세대주택)","철근콘크리트구조","529.02","5/0","245.1","145.32","59.29","215.84","철근콘크리트구조","(철근)콘크리트,평스라브","20020419","20040305","20040907"
"11710-5656",,"송파구","송파동","24-9","표제부","공동주택","철근콘크리트구조","461.74","5/0","231.5","138.16","59.68","199.46","철근콘크리트구조","평스라브","20020919","20030918","20040202"
"11710-22543","삼양빌라","송파구","송파동","24-10","표제부","공동주택(다세대주택)","철근콘크리트구조","466.37","5/0","231.5","138.6","59.87","201.46","철근콘크리트구조","철근콘크리트 평스라브","20030605","20040401","20041101"
"11710-10351",,"송파구","송파동","24-11","일반건축물","다가구주택(11가구)","철근콘크리트구조","499.42","3/1","217.5","128.67","59.15","170.84","철근콘크리트조","평스라브","19930705","19930819","19940511"
"11710-21457",,"송파구","송파동","24-12","표제부","공동주택(다세대주택)","철근콘크리트구조","554.64","5/0","229.8","137.56","59.86","216.26","철근콘크리트구조","평스라브","20010402","20010514","20011101"
"11710-100455018","진주빌","송파구","송파동","24-13","표제부","다세대주택","철근콘크리트구조","459.15","5/0","229.7","137.78","59.98","199.89","철근콘크리트구조","평슬래브","20130506","20130514","20131008"
"11710-16493",,"송파구","송파동","24-14","표제부","공동주택(다세대주택)","철근콘크리트구조","648.32","5/0","298.5","179.02","59.97","217.19","철근콘크리트구조","(철근)콘크리트,평스라브","20030630","20031226","20040602"
"11710-100451847",,"송파구","송파동","24-15","표제부","공동주택(다세대주택/도시형생활주택)","철근콘크리트구조","358.53","5/0","179.7","107.03","59.56","199.52","철근콘크리트구조","평슬래브","20120627","20120828","20130711"
"11710-21747",,"송파구","송파동","24-16","표제부","공동주택(다세대주택)","철근콘크리트구조","320.88","5/0","161.2","87.5","54.28","199.06","철근콘크리트구조","(철근)콘크리트,평스라브","20021217","20031226","20040602"
